HumanSymbol	chr	snp	locus	gene_biotype	MouseSymbol
CNIH1	14	rs11158026	GCH1	protein_coding	Cnih1
CNOT11	2	rs34043159	IL1R2	protein_coding	Cnot11
CNOT7	8	rs591323	FGF20	protein_coding	Cnot7
CNP	17	rs601999	ATP6V0A1	protein_coding	Cnp
CNTD1	17	rs601999	ATP6V0A1	protein_coding	Cntd1
CNTLN	9	rs13294100	SH3GL2	protein_coding	Cntln
CNTN1	12	rs76904798	LRRK2	protein_coding	Cntn1
CNTN2	1	rs823118	RAB7L1-NUCKS1	protein_coding	Cntn2
CNTNAP1	17	rs601999	ATP6V0A1	protein_coding	Cntnap1
COA3	17	rs601999	ATP6V0A1	protein_coding	Coa3
COASY	17	rs601999	ATP6V0A1	protein_coding	Coasy
COBLL1	2	rs353116	SCN3A	protein_coding	Cobll1
COL11A2	6	rs9275326	HLA-DBQ1	protein_coding	Col11a2
COL11A2P1	6	rs9275326	HLA-DBQ1	unprocessed_pseudogene	NA
COL7A1	3	rs12497850	NCKIPSD	protein_coding	Col7a1
COPS3	17	rs11868035	SREBF1-RAI1	protein_coding	Cops3
COQ7	16	rs11343	COQ7	protein_coding	Coq7
COQ8A	1	rs4653767	ITPKB	protein_coding	Coq8a
CORO1A	16	rs14235	BCKDK-STX1B	protein_coding	Coro1a
COTL1P1	17	rs11868035	SREBF1-RAI1	processed_pseudogene	NA
COX11P1	6	rs9468199	ZNF184	processed_pseudogene	NA
COX6A2	16	rs14235	BCKDK-STX1B	protein_coding	Cox6a2
COX7A2P1	14	rs1555399	TMEM229B	processed_pseudogene	NA
CPEB2	4	rs11724635	BST1	protein_coding	Cpeb2
CPEB2-AS1	4	rs11724635	BST1	lincRNA	NA
CPLX1	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Cplx1
CPXM1	20	rs8118008	DDRGK1	protein_coding	Cpxm1
CREG2	2	rs34043159	IL1R2	protein_coding	Creg2
CRHR1	17	rs17649553	MAPT	protein_coding	Crhr1
CSNK1G2	19	rs62120679	SPPL2B	protein_coding	Csnk1g2
CSNK1G2-AS1	19	rs62120679	SPPL2B	antisense	NA
CSNK2B	6	rs9275326	HLA-DBQ1	protein_coding	Csnk2b
CSRNP3	2	rs353116	SCN3A	protein_coding	Csrnp3
CTAGE14P	2	rs1474055	STK39	processed_pseudogene	NA
CTBP1	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Ctbp1
CTBP1-AS	4	rs34311866	TMEM175-GAK-DGKQ	antisense	NA
CTBP1-AS2	4	rs34311866	TMEM175-GAK-DGKQ	antisense	NA
CTF1	16	rs14235	BCKDK-STX1B	protein_coding	Ctf1
CTF2P	16	rs14235	BCKDK-STX1B	unitary_pseudogene	NA
CTSB	8	rs2740594	CTSB	protein_coding	Ctsb
CTSE	1	rs823118	RAB7L1-NUCKS1	protein_coding	Ctse
CUTA	6	rs9275326	HLA-DBQ1	protein_coding	Cuta
CXCL10	4	rs6812193	FAM47E-SCARB2	protein_coding	Cxcl10
CYCSP28	11	rs3793947	DLG2	processed_pseudogene	NA
CYCSP42	21	rs2823357	USP25	processed_pseudogene	NA
CYP21A1P	6	rs9275326	HLA-DBQ1	transcribed_unprocessed_pseudogene	NA
CYP21A2	6	rs9275326	HLA-DBQ1	protein_coding	Cyp21a1
CYP2AB1P	3	rs12637471	MCCC1	transcribed_unprocessed_pseudogene	NA
CYP2C56P	2	rs353116	SCN3A	processed_pseudogene	NA
DAG1	3	rs12497850	NCKIPSD	protein_coding	Dag1
DALRD3	3	rs12497850	NCKIPSD	protein_coding	Dalrd3
DAP3	1	rs35749011	GBA-SYT11	protein_coding	Dap3
DAP3P1	1	rs35749011	GBA-SYT11	unprocessed_pseudogene	NA
DAXX	6	rs9275326	HLA-DBQ1	protein_coding	Daxx
DCAKD	17	rs17649553	MAPT	protein_coding	Dcakd
DCLRE1C	10	rs10906923	FAM171A1	protein_coding	Dclre1c
DCLRE1C	10	rs7077361	ITGA8	protein_coding	Dclre1c
DCLRE1CP1	10	rs10906923	FAM171A1	unprocessed_pseudogene	NA
DCLRE1CP1	10	rs7077361	ITGA8	unprocessed_pseudogene	NA
DCP1A	3	rs143918452	ALAS1	protein_coding	Dcp1a
DCST1	1	rs35749011	GBA-SYT11	protein_coding	Dcst1
DCST2	1	rs35749011	GBA-SYT11	protein_coding	Dcst2
DCTPP1	16	rs14235	BCKDK-STX1B	protein_coding	Dctpp1
DCUN1D1	3	rs12637471	MCCC1	protein_coding	Dcun1d1
DDAH2	6	rs9275326	HLA-DBQ1	protein_coding	Ddah2
DDIAS	11	rs3793947	DLG2	protein_coding	Ddias
DDRGK1	20	rs8118008	DDRGK1	protein_coding	Ddrgk1
DDX39B	6	rs9275326	HLA-DBQ1	protein_coding	Ddx39b
DDX39B-AS1	6	rs9275326	HLA-DBQ1	antisense	NA
DDX55	12	rs11060180	CCDC62	protein_coding	Ddx55
DEFB108P3	8	rs2740594	CTSB	unprocessed_pseudogene	NA
DEFB108P4	8	rs2740594	CTSB	unprocessed_pseudogene	NA
DEFB109P1	8	rs2740594	CTSB	unprocessed_pseudogene	NA
DEFB109P3	8	rs2740594	CTSB	processed_pseudogene	NA
DENR	12	rs11060180	CCDC62	protein_coding	Denr
DEPDC1B	5	rs2694528	ELOVL7	protein_coding	Depdc1b
DGKQ	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Dgkq
DHRS9	2	rs1474055	STK39	protein_coding	Dhrs9
DHX30	3	rs12497850	NCKIPSD	protein_coding	Dhx30
DHX58	17	rs601999	ATP6V0A1	protein_coding	Dhx58
DHX8	17	rs601999	ATP6V0A1	protein_coding	Dhx8
DIABLO	12	rs11060180	CCDC62	protein_coding	Diablo
DIRAS1	19	rs62120679	SPPL2B	protein_coding	Diras1
DISC1	1	rs10797576	SIPA1L2	protein_coding	Disc1
DISC1-IT1	1	rs10797576	SIPA1L2	sense_intronic	NA
DLG2	11	rs3793947	DLG2	protein_coding	Dlg2
DLGAP5	14	rs11158026	GCH1	protein_coding	Dlgap5
DMTN	8	rs2280104	SORBS3	protein_coding	Dmtn
DNAH1	3	rs143918452	ALAS1	protein_coding	Dnah1
DNAH10	12	rs11060180	CCDC62	protein_coding	Dnah10
DNAJC7	17	rs601999	ATP6V0A1	protein_coding	Dnajc7
DND1P1	17	rs17649553	MAPT	processed_pseudogene	NA
DOHH	19	rs62120679	SPPL2B	protein_coding	Dohh
DOK2	8	rs2280104	SORBS3	protein_coding	Dok2
DOT1L	19	rs62120679	SPPL2B	protein_coding	Dot1l
DPM3	1	rs35749011	GBA-SYT11	protein_coding	Dpm3
DRC3	17	rs11868035	SREBF1-RAI1	protein_coding	Drc3
DRG2	17	rs11868035	SREBF1-RAI1	protein_coding	Drg2
DSTYK	1	rs823118	RAB7L1-NUCKS1	protein_coding	Dstyk
DUSP7	3	rs143918452	ALAS1	protein_coding	Dusp7
DXO	6	rs9275326	HLA-DBQ1	protein_coding	Dxo
DYRK3	1	rs823118	RAB7L1-NUCKS1	protein_coding	Dyrk3
EBF4	20	rs8118008	DDRGK1	protein_coding	Ebf4
EDDM3CP	2	rs6430538	ACMSD-TMEM163	processed_pseudogene	NA
EEF1A1P6	7	rs199347	GPNMB	processed_pseudogene	NA
EEF1A1P8	3	rs12637471	MCCC1	processed_pseudogene	NA
EEF1GP4	3	rs34016896	NMD3	processed_pseudogene	NA
EFNA1	1	rs35749011	GBA-SYT11	protein_coding	Efna1
EFNA3	1	rs35749011	GBA-SYT11	protein_coding	Efna3
EFNA4	1	rs35749011	GBA-SYT11	protein_coding	Efna4
EGFL8	6	rs9275326	HLA-DBQ1	protein_coding	Egfl8
EGR3	8	rs2280104	SORBS3	protein_coding	Egr3
EHMT2	6	rs9275326	HLA-DBQ1	protein_coding	Ehmt2
EHMT2-AS1	6	rs9275326	HLA-DBQ1	antisense	NA
EIF2B1	12	rs11060180	CCDC62	protein_coding	Eif2b1
EIF2D	1	rs823118	RAB7L1-NUCKS1	protein_coding	Eif2d
EIF2S1	14	rs1555399	TMEM229B	protein_coding	Eif2s1
EIF3A	10	rs117896735	INPP5F	protein_coding	Eif3a
EIF4EP3	3	rs12637471	MCCC1	processed_pseudogene	NA
ELK4	1	rs823118	RAB7L1-NUCKS1	protein_coding	Elk4
ELOVL7	5	rs2694528	ELOVL7	protein_coding	Elovl7
EML5	14	rs8005172	GALC	protein_coding	Eml5
ENPP7P12	8	rs2740594	CTSB	processed_pseudogene	NA
ENPP7P6	8	rs2740594	CTSB	unprocessed_pseudogene	NA
EPHX1	1	rs4653767	ITPKB	protein_coding	Ephx1
ERCC8	5	rs2694528	ELOVL7	protein_coding	Ercc8
ERLEC1P1	21	rs2823357	USP25	processed_pseudogene	NA
ETV4	17	rs601999	ATP6V0A1	protein_coding	Etv4
EZH1	17	rs601999	ATP6V0A1	protein_coding	Ezh1
FAM107B	10	rs7077361	ITGA8	protein_coding	Fam107b
FAM107B	10	rs10906923	FAM171A1	protein_coding	Fam107b
FAM126A	7	rs199347	GPNMB	protein_coding	Fam126a
FAM13A-AS1	4	rs356182	SNCA	antisense	NA
FAM160B2	8	rs2280104	SORBS3	protein_coding	Fam160b2
FAM167A	8	rs2740594	CTSB	protein_coding	Fam167a
FAM167A-AS1	8	rs2740594	CTSB	antisense	NA
FAM171A1	10	rs10906923	FAM171A1	protein_coding	Fam171a1
FAM171A1	10	rs7077361	ITGA8	protein_coding	Fam171a1
FAM183DP	2	rs34043159	IL1R2	processed_pseudogene	NA
FAM189B	1	rs35749011	GBA-SYT11	protein_coding	Fam189b
FAM215B	17	rs17649553	MAPT	lincRNA	NA
FAM221A	7	rs199347	GPNMB	protein_coding	Fam221a
FAM35CP	14	rs8005172	GALC	processed_pseudogene	NA
FAM45A	10	rs117896735	INPP5F	protein_coding	Fam45a
FAM47E	4	rs6812193	FAM47E-SCARB2	protein_coding	Fam47e
FAM53A	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Fam53a
FAM60DP	8	rs2280104	SORBS3	processed_pseudogene	NA
FAM66A	8	rs2740594	CTSB	lincRNA	NA
FAM66D	8	rs2740594	CTSB	antisense	NA
FAM71D	14	rs1555399	TMEM229B	protein_coding	Fam71d
FAM72A	1	rs823118	RAB7L1-NUCKS1	protein_coding	Fam72a
FAM90A25P	8	rs2740594	CTSB	unprocessed_pseudogene	NA
FAM90A2P	8	rs2740594	CTSB	unprocessed_pseudogene	NA
FASTKD5	20	rs8118008	DDRGK1	protein_coding	Fastkd5
FBRS	16	rs14235	BCKDK-STX1B	protein_coding	Fbrs
FBXL19	16	rs14235	BCKDK-STX1B	protein_coding	Fbxl19
FBXL19-AS1	16	rs14235	BCKDK-STX1B	antisense	NA
FBXL5	4	rs11724635	BST1	protein_coding	Fbxl5
FBXO34	14	rs11158026	GCH1	protein_coding	Fbxo34
FBXW10	17	rs11868035	SREBF1-RAI1	protein_coding	Fbxw10
FCF1P1	7	rs199347	GPNMB	processed_pseudogene	NA
FCF1P2	3	rs12497850	NCKIPSD	processed_pseudogene	NA
FDFT1	8	rs2740594	CTSB	protein_coding	Fdft1
FDPS	1	rs35749011	GBA-SYT11	protein_coding	Fdps
FDPSP3	14	rs11158026	GCH1	transcribed_processed_pseudogene	NA
FGF17	8	rs2280104	SORBS3	protein_coding	Fgf17
FGF20	8	rs591323	FGF20	protein_coding	Fgf20
FGFBP1	4	rs11724635	BST1	protein_coding	Fgfbp1
FGFR3	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Fgfr3
FGFRL1	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Fgfrl1
FKBP10	17	rs601999	ATP6V0A1	protein_coding	Fkbp10
FKBPL	6	rs9275326	HLA-DBQ1	protein_coding	Fkbpl
FLAD1	1	rs35749011	GBA-SYT11	protein_coding	Flad1
FLCN	17	rs11868035	SREBF1-RAI1	protein_coding	Flcn
FLII	17	rs11868035	SREBF1-RAI1	protein_coding	Flii
FOXO3B	17	rs11868035	SREBF1-RAI1	processed_pseudogene	NA
FRG2KP	16	rs14235	BCKDK-STX1B	transcribed_unprocessed_pseudogene	NA
FRG2MP	21	rs2823357	USP25	processed_pseudogene	NA
FTLP19	10	rs10906923	FAM171A1	processed_pseudogene	NA
FTLP19	10	rs7077361	ITGA8	processed_pseudogene	NA
FTLP3	20	rs8118008	DDRGK1	processed_pseudogene	NA
FZR1	19	rs62120679	SPPL2B	protein_coding	Fzr1
G3BP2	4	rs6812193	FAM47E-SCARB2	protein_coding	G3bp2
G6PC	17	rs601999	ATP6V0A1	protein_coding	G6pc
G6PC2	2	rs1474055	STK39	protein_coding	G6pc2
GADD45B	19	rs62120679	SPPL2B	protein_coding	Gadd45b
GAK	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Gak
GALC	14	rs8005172	GALC	protein_coding	Galc
GALNT3	2	rs353116	SCN3A	protein_coding	Galnt3
GAMT	19	rs62120679	SPPL2B	protein_coding	Gamt
GAPDHP16	21	rs2823357	USP25	processed_pseudogene	NA
GAPDHP45	10	rs10906923	FAM171A1	processed_pseudogene	NA
GAPDHP45	10	rs7077361	ITGA8	processed_pseudogene	NA
