HumanSymbol	chr	snp	locus	gene_biotype	MouseSymbol	expression	lin.exprs	specific	co.reg	diff	score	pLI	score.pLI
SLC39A7	6	rs9275326	HLA-DBQ1	protein_coding	Slc39a7	1	1	0	0	1	3	0.0149907535503378	3.015
APEH	3	rs12497850	NCKIPSD	protein_coding	Apeh	1	1	0	0	1	3	0.0132157073381975	3.013
CHMP2B	3	rs115185635	KRT8P25-APOOP2	protein_coding	Chmp2b	1	1	0	0	1	3	0.0130803147575514	3.013
SCAMP3	1	rs35749011	GBA-SYT11	protein_coding	Scamp3	1	1	0	0	1	3	0.0128944102681846	3.013
TCTA	3	rs12497850	NCKIPSD	protein_coding	Tcta	1	1	0	0	1	3	0.0132648475524679	3.013
ARL6IP4	12	rs11060180	CCDC62	protein_coding	Arl6ip4	1	1	0	0	1	3	0.0112342008018869	3.011
TMA7	3	rs12497850	NCKIPSD	protein_coding	Tma7	1	1	0	0	1	3	0.0100073079474151	3.01
ARL6IP1	16	rs11343	COQ7	protein_coding	Arl6ip1	1	1	0	0	1	3	0.00667568860937067	3.007
GPX1	3	rs12497850	NCKIPSD	protein_coding	Gpx1	1	1	0	0	1	3	0.00693165111693131	3.007
ZDHHC2	8	rs591323	FGF20	protein_coding	Zdhhc2	1	1	0	0	1	3	0.00703300683867723	3.007
COA3	17	rs601999	ATP6V0A1	protein_coding	Coa3	1	1	0	0	1	3	0.00470837762889433	3.005
ATP6V1D	14	rs1555399	TMEM229B	protein_coding	Atp6v1d	1	1	0	0	1	3	0.00315144323792958	3.003
RNF5	6	rs9275326	HLA-DBQ1	protein_coding	Rnf5	1	1	0	0	1	3	0.00299042376639745	3.003
FDPS	1	rs35749011	GBA-SYT11	protein_coding	Fdps	1	1	0	0	1	3	0.00175127849063184	3.002
TUSC3	8	rs591323	FGF20	protein_coding	Tusc3	1	1	0	0	1	3	0.00189876427347781	3.002
IMPDH2	3	rs12497850	NCKIPSD	protein_coding	Impdh2	1	1	0	0	1	3	0.00135316628366044	3.001
INPP5F	10	rs117896735	INPP5F	protein_coding	Inpp5f	1	1	0	0	1	3	0.00146883108535103	3.001
ADAMTSL1	9	rs13294100	SH3GL2	protein_coding	Adamtsl1	1	1	0	0	1	3	8.82648695835544e-05	3
BAG6	6	rs9275326	HLA-DBQ1	protein_coding	Bag6	1	1	0	0	0	2	0.999987885791662	3
BOLA2B	16	rs14235	BCKDK-STX1B	protein_coding	Bola2	1	1	0	0	1	3	0	3
BRD2	6	rs9275326	HLA-DBQ1	protein_coding	Brd2	1	1	0	0	0	2	0.999530880243209	3
CDKL2	4	rs6812193	FAM47E-SCARB2	protein_coding	Cdkl2	1	1	0	0	1	3	1.86965524979377e-09	3
DAP3	1	rs35749011	GBA-SYT11	protein_coding	Dap3	1	1	0	0	1	3	1.9076333934558e-05	3
DHX30	3	rs12497850	NCKIPSD	protein_coding	Dhx30	1	1	0	0	0	2	0.999999462569762	3
EIF3A	10	rs117896735	INPP5F	protein_coding	Eif3a	1	1	0	0	0	2	0.999999999560078	3
FDFT1	8	rs2740594	CTSB	protein_coding	Fdft1	1	1	0	0	1	3	0	3
FUS	16	rs14235	BCKDK-STX1B	protein_coding	Fus	1	1	0	0	0	2	0.999963786341319	3
GDE1	16	rs11343	COQ7	protein_coding	Gde1	1	1	0	0	1	3	4.09186346553975e-05	3
GPHN	14	rs1555399	TMEM229B	protein_coding	Gphn	1	1	0	0	0	2	0.999981472805078	3
HAP1	17	rs601999	ATP6V0A1	protein_coding	Hap1	1	1	0	0	1	3	1.58556445592013e-19	3
IDH3B	20	rs8118008	DDRGK1	protein_coding	Idh3b	1	1	0	0	1	3	3.06237188855065e-05	3
KLHDC8A	1	rs823118	RAB7L1-NUCKS1	protein_coding	Klhdc8a	1	1	0	0	1	3	1.5912847668424e-05	3
MAPT	17	rs17649553	MAPT	protein_coding	Mapt	1	1	0	0	1	3	4.68264962282433e-05	3
MICU3	8	rs591323	FGF20	protein_coding	Micu3	1	1	0	0	1	3	3.12316752281864e-06	3
MTMR7	8	rs591323	FGF20	protein_coding	Mtmr7	1	1	0	0	1	3	1.63743798338027e-09	3
NT5M	17	rs11868035	SREBF1-RAI1	protein_coding	Nt5m	1	1	0	0	1	3	3.30164509841504e-05	3
PBRM1	3	rs143918452	ALAS1	protein_coding	Pbrm1	1	1	0	0	0	2	0.999999987154091	3
PMVK	1	rs35749011	GBA-SYT11	protein_coding	Pmvk	1	1	0	0	1	3	0.000305454915643329	3
PTPRA	20	rs8118008	DDRGK1	protein_coding	Ptpra	1	1	0	0	0	2	0.999976743548953	3
QARS	3	rs12497850	NCKIPSD	protein_coding	Qars	1	1	0	0	1	3	8.78969829865226e-08	3
SBNO1	12	rs11060180	CCDC62	protein_coding	Sbno1	1	1	0	0	0	2	0.999999983699679	3
SFXN4	10	rs117896735	INPP5F	protein_coding	Sfxn4	1	1	0	0	1	3	0.000148320455391636	3
SHISA5	3	rs12497850	NCKIPSD	protein_coding	Shisa5	1	1	0	0	1	3	9.94272259623573e-08	3
SMIM4	3	rs143918452	ALAS1	protein_coding	Smim4	1	1	0	0	1	3	0	3
SRGAP2	1	rs823118	RAB7L1-NUCKS1	protein_coding	Srgap2	1	1	0	0	1	3	0	3
STAT5B	17	rs601999	ATP6V0A1	protein_coding	Stat5b	1	1	0	0	0	2	0.999953160240961	3
TMEM175	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Tmem175	1	1	0	0	1	3	0.000439629704611645	3
UBAP2L	1	rs35749011	GBA-SYT11	protein_coding	Ubap2l	1	1	0	0	0	2	0.999999873126418	3
WDR6	3	rs12497850	NCKIPSD	protein_coding	Wdr6	1	1	0	0	1	3	9.19647551585082e-07	3
ZC3H14	14	rs8005172	GALC	protein_coding	Zc3h14	1	1	0	0	0	2	0.999785297023323	3
BECN1	17	rs601999	ATP6V0A1	protein_coding	Becn1	1	1	0	0	0	2	0.998697775912791	2.999
MAP4	3	rs12497850	NCKIPSD	protein_coding	Map4	1	1	0	0	0	2	0.99884872439436	2.999
NFASC	1	rs823118	RAB7L1-NUCKS1	protein_coding	Nfasc	1	1	0	0	0	2	0.998762678321666	2.999
NMT1	17	rs17649553	MAPT	protein_coding	Nmt1	1	1	0	0	0	2	0.998500520689071	2.999
KIAA0907	1	rs35749011	GBA-SYT11	protein_coding	2810403A07Rik	1	0	0	0	1	2	0.99711361843545	2.997
CELF5	19	rs62120679	SPPL2B	protein_coding	Celf5	1	1	0	0	0	2	0.996405707329076	2.996
QRICH1	3	rs12497850	NCKIPSD	protein_coding	Qrich1	1	1	0	0	0	2	0.996069748046578	2.996
LMNA	1	rs35749011	GBA-SYT11	protein_coding	Lmna	1	0	0	0	1	2	0.993449023376761	2.993
RSRC2	12	rs11060180	CCDC62	protein_coding	Rsrc2	1	1	0	0	0	2	0.992877361426345	2.993
DCUN1D1	3	rs12637471	MCCC1	protein_coding	Dcun1d1	1	1	0	0	0	2	0.990513001427957	2.991
IP6K2	3	rs12497850	NCKIPSD	protein_coding	Ip6k2	1	0	0	0	1	2	0.989457702873501	2.989
BTBD2	19	rs62120679	SPPL2B	protein_coding	Btbd2	1	1	0	0	0	2	0.98767894213597	2.988
CNOT7	8	rs591323	FGF20	protein_coding	Cnot7	1	1	0	0	0	2	0.986495484302418	2.986
AGPAT1	6	rs9275326	HLA-DBQ1	protein_coding	Agpat1	1	1	0	0	0	2	0.984453681304784	2.984
TBC1D10B	16	rs14235	BCKDK-STX1B	protein_coding	Tbc1d10b	1	1	0	0	0	2	0.98178412798823	2.982
CTBP1	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Ctbp1	1	1	0	0	0	2	0.979763654461024	2.98
NUCKS1	1	rs823118	RAB7L1-NUCKS1	protein_coding	Nucks1	1	1	0	0	0	2	0.979237657935801	2.979
FBXL5	4	rs11724635	BST1	protein_coding	Fbxl5	1	1	0	0	0	2	0.977580081625291	2.978
LDB2	4	rs11724635	BST1	protein_coding	Ldb2	1	0	0	0	1	2	0.97606785748877	2.976
TUBG1	17	rs601999	ATP6V0A1	protein_coding	Tubg1	1	1	0	0	0	2	0.975922883842582	2.976
UBXN4	2	rs6430538	ACMSD-TMEM163	protein_coding	Ubxn4	1	1	0	0	0	2	0.974205695161288	2.974
GAK	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Gak	1	1	0	0	0	2	0.973134951387495	2.973
VPS26B	11	rs329648	MIR4697	protein_coding	Vps26b	1	1	0	0	0	2	0.970719437677481	2.971
CLIP1	12	rs11060180	CCDC62	protein_coding	Clip1	1	1	0	0	0	2	0.96849601373118	2.968
GNA11	19	rs62120679	SPPL2B	protein_coding	Gna11	1	1	0	0	0	2	0.966183014336431	2.966
CORO1A	16	rs14235	BCKDK-STX1B	protein_coding	Coro1a	1	0	0	0	1	2	0.954491479297814	2.954
DAG1	3	rs12497850	NCKIPSD	protein_coding	Dag1	1	1	0	0	0	2	0.940921791331691	2.941
WDR82	3	rs143918452	ALAS1	protein_coding	Wdr82	1	1	0	0	0	2	0.923062143793669	2.923
MBD3	19	rs62120679	SPPL2B	protein_coding	Mbd3	1	0	0	0	1	2	0.919323880451979	2.919
EIF2S1	14	rs1555399	TMEM229B	protein_coding	Eif2s1	1	1	0	0	0	2	0.916802002902544	2.917
ADAR	1	rs35749011	GBA-SYT11	protein_coding	Adar	1	1	0	0	0	2	0.907595373477161	2.908
ALAS1	3	rs143918452	ALAS1	protein_coding	Alas1	1	1	0	0	0	2	0.907956554078195	2.908
ABCC5	3	rs12637471	MCCC1	protein_coding	Abcc5	1	1	0	0	0	2	0.896205134921104	2.896
MPRIP	17	rs11868035	SREBF1-RAI1	protein_coding	Mprip	1	1	0	0	0	2	0.870658011638398	2.871
PIP5K1C	19	rs62120679	SPPL2B	protein_coding	Pip5k1c	1	1	0	0	0	2	0.859389818234551	2.859
SATB1	3	rs4073221	SATB1	protein_coding	Satb1	1	1	0	0	0	2	0.856613872020163	2.857
DENR	12	rs11060180	CCDC62	protein_coding	Denr	1	1	0	0	0	2	0.846252782580504	2.846
RPL31	2	rs34043159	IL1R2	protein_coding	Rpl31	1	1	0	0	0	2	0.843001842538011	2.843
DDAH2	6	rs9275326	HLA-DBQ1	protein_coding	Ddah2	1	0	0	0	1	2	0.842139471278318	2.842
RCHY1	4	rs6812193	FAM47E-SCARB2	protein_coding	Rchy1	1	1	0	0	0	2	0.823377800911552	2.823
AP3D1	19	rs62120679	SPPL2B	protein_coding	Ap3d1	1	1	0	0	0	2	0.798002533603789	2.798
B3GAT1	11	rs329648	MIR4697	protein_coding	B3gat1	1	1	0	0	0	2	0.78915280663019	2.789
CGGBP1	3	rs115185635	KRT8P25-APOOP2	protein_coding	Cggbp1	1	1	0	0	0	2	0.777631517643376	2.778
EIF1	17	rs601999	ATP6V0A1	protein_coding	Eif1	1	1	0	0	0	2	0.764131765089407	2.764
HSD17B8	6	rs9275326	HLA-DBQ1	protein_coding	H2-Ke6	1	0	0	0	1	2	0.744497984421353	2.744
VPS25	17	rs601999	ATP6V0A1	protein_coding	Vps25	1	1	0	0	0	2	0.735077728420435	2.735
CKS1B	1	rs35749011	GBA-SYT11	protein_coding	Cks1b	1	0	0	0	1	2	0.723280936456517	2.723
HERC3	4	rs356182	SNCA	protein_coding	Herc3	1	1	0	0	0	2	0.719742122657536	2.72
C1QL3	10	rs7077361	ITGA8	protein_coding	C1ql3	0	1	0	0	1	2	0.718803251749119	2.719
C1QL3	10	rs10906923	FAM171A1	protein_coding	C1ql3	0	1	0	0	1	2	0.718803251749119	2.719
SNRPB	20	rs8118008	DDRGK1	protein_coding	Snrpb	1	1	0	0	0	2	0.691451244777475	2.691
VPS33A	12	rs11060180	CCDC62	protein_coding	Vps33a	1	1	0	0	0	2	0.687968695146875	2.688
SEPT11	4	rs6812193	FAM47E-SCARB2	protein_coding	Sept11	1	1	0	0	0	2	0.68190156444561	2.682
DLG2	11	rs3793947	DLG2	protein_coding	Dlg2	1	0	0	0	1	2	0.673545370161857	2.674
KTN1	14	rs11158026	GCH1	protein_coding	Ktn1	1	1	0	0	0	2	0.639772920815945	2.64
DIRAS1	19	rs62120679	SPPL2B	protein_coding	Diras1	1	0	0	0	1	2	0.62334167137764	2.623
SEMA4A	1	rs35749011	GBA-SYT11	protein_coding	Sema4a	1	0	0	0	1	2	0.615371620982326	2.615
PPM1L	3	rs34016896	NMD3	protein_coding	Ppm1l	1	1	0	0	0	2	0.570549299339256	2.571
SLBP	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Slbp	1	1	0	0	0	2	0.51565945835262	2.516
NCLN	19	rs62120679	SPPL2B	protein_coding	Ncln	1	0	0	0	1	2	0.509474338262742	2.509
CCNT2	2	rs6430538	ACMSD-TMEM163	protein_coding	Ccnt2	1	1	0	0	0	2	0.49810408150126	2.498
SGTA	19	rs62120679	SPPL2B	protein_coding	Sgta	1	1	0	0	0	2	0.470281213257638	2.47
MLX	17	rs601999	ATP6V0A1	protein_coding	Mlx	1	1	0	0	0	2	0.469292431570312	2.469
PLEKHJ1	19	rs62120679	SPPL2B	protein_coding	Plekhj1	1	1	0	0	0	2	0.463248129638187	2.463
TVP23B	17	rs11868035	SREBF1-RAI1	protein_coding	Tvp23b	1	1	0	0	0	2	0.42973287339102	2.43
TOM1L2	17	rs11868035	SREBF1-RAI1	protein_coding	Tom1l2	1	1	0	0	0	2	0.414475507742354	2.414
BAP1	3	rs143918452	ALAS1	protein_coding	Bap1	1	1	0	0	0	2	0.385637503937077	2.386
PEMT	17	rs11868035	SREBF1-RAI1	protein_coding	Pemt	1	0	0	0	1	2	0.367752727517099	2.368
GFRA2	8	rs2280104	SORBS3	protein_coding	Gfra2	1	0	0	0	1	2	0.337127994516478	2.337
NMT2	10	rs10906923	FAM171A1	protein_coding	Nmt2	1	1	0	0	0	2	0.317678321422733	2.318
NMT2	10	rs7077361	ITGA8	protein_coding	Nmt2	1	1	0	0	0	2	0.317678321422733	2.318
MED9	17	rs11868035	SREBF1-RAI1	protein_coding	Med9	1	1	0	0	0	2	0.315748748937312	2.316
TIMM13	19	rs62120679	SPPL2B	protein_coding	Timm13	1	1	0	0	0	2	0.309091873509944	2.309
SRP9	1	rs4653767	ITPKB	protein_coding	Srp9	1	1	0	0	0	2	0.308171838775694	2.308
DPM3	1	rs35749011	GBA-SYT11	protein_coding	Dpm3	1	1	0	0	0	2	0.233470170067034	2.233
TMEM229B	14	rs1555399	TMEM229B	protein_coding	Tmem229b	1	0	0	0	1	2	0.214249970166916	2.214
TRA2A	7	rs199347	GPNMB	protein_coding	Tra2a	1	1	0	0	0	2	0.212371727129574	2.212
CCSER1	4	rs356182	SNCA	protein_coding	Ccser1	1	0	0	0	1	2	0.211350847441148	2.211
MTMR9	8	rs2740594	CTSB	protein_coding	Mtmr9	1	0	0	0	1	2	0.210866148969841	2.211
MTX1	1	rs35749011	GBA-SYT11	protein_coding	Mtx1	1	0	0	0	1	2	0.198221290051836	2.198
DCTPP1	16	rs14235	BCKDK-STX1B	protein_coding	Dctpp1	1	1	0	0	0	2	0.184698213695084	2.185
HLA-DQA1	6	rs9275326	HLA-DBQ1	protein_coding	H2-Aa	1	0	0	0	1	2	0.166625329932453	2.167
DRG2	17	rs11868035	SREBF1-RAI1	protein_coding	Drg2	1	1	0	0	0	2	0.148077281811429	2.148
CNTN2	1	rs823118	RAB7L1-NUCKS1	protein_coding	Cntn2	1	1	0	0	0	2	0.129621135189604	2.13
EIF2B1	12	rs11060180	CCDC62	protein_coding	Eif2b1	1	1	0	0	0	2	0.104796388339037	2.105
GRB14	2	rs353116	SCN3A	protein_coding	Grb14	0	1	0	0	1	2	0.0966012167550771	2.097
ACBD7	10	rs7077361	ITGA8	protein_coding	Acbd7	1	0	0	0	1	2	0.0863366080379718	2.086
ACBD7	10	rs10906923	FAM171A1	protein_coding	Acbd7	1	0	0	0	1	2	0.0863366080379718	2.086
LETM1	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Letm1	1	1	0	0	0	2	0.0810547259175606	2.081
SCARB2	4	rs6812193	FAM47E-SCARB2	protein_coding	Scarb2	1	1	0	0	0	2	0.072442869057668	2.072
TKT	3	rs143918452	ALAS1	protein_coding	Tkt	1	1	0	0	0	2	0.0602834945523099	2.06
TOMM7	7	rs199347	GPNMB	protein_coding	Tomm7	1	1	0	0	0	2	0.0547352976629651	2.055
GBA	1	rs35749011	GBA-SYT11	protein_coding	Gba	1	1	0	0	0	2	0.0340405400496017	2.034
PSEN2	1	rs4653767	ITPKB	protein_coding	Psen2	1	1	0	0	0	2	0.0270141824537153	2.027
P4HTM	3	rs12497850	NCKIPSD	protein_coding	P4htm	1	1	0	0	0	2	0.0232749358306657	2.023
PHKG2	16	rs14235	BCKDK-STX1B	protein_coding	Phkg2	1	1	0	0	0	2	0.0216344941814238	2.022
SCAMP4	19	rs62120679	SPPL2B	protein_coding	Scamp4	1	0	0	0	1	2	0.0209517140380353	2.021
CCP110	16	rs11343	COQ7	protein_coding	Ccp110	1	1	0	0	0	2	0.015731918368029	2.016
HCN3	1	rs35749011	GBA-SYT11	protein_coding	Hcn3	1	1	0	0	0	2	0.0150933826344395	2.015
