HumanSymbol	MouseSymbol
PAFAH1B1	Pafah1b1
MVK	Mvk
NCF2	Ncf2
NEU1	Neu1
NOTCH3	Notch3
OXCT1	Oxct1
PCSK1	Pcsk1
PDE6A	Pde6a
PLEC	Plec
PON2	Pon2
PSEN2	Psen2
RAG1	Rag1
SELE	Sele
SLC10A2	Slc10a2
SOD1	Sod1
STK11	Stk11
SUOX	Suox
HNF4A	Hnf4a
HNF1B	Hnf1b
TEK	Tek
THPO	Thpo
BARD1	Bard1
TWIST1	Twist1
NR0B1	Nr0b1
ALB	Alb
AMPD3	Ampd3
AMT	Amt
APRT	Aprt
ATRX	Atrx
AVP	Avp
C1QB	C1qb
CRYBB2	Crybb2
F12	F12
F2	F2
FGA	Fga
FGG	Fgg
FSHB	Fshb
GDNF	Gdnf
HEXB	Hexb
KCNJ11	Kcnj11
VLDLR	Vldlr
MC2R	Mc2r
MPZ	Mpz
OTC	Otc
PCCB	Pccb
PLP1	Plp1
PMS1	Pms1
RFXAP	Rfxap
SAG	Sag
SFTPB	Sftpb
SMPD1	Smpd1
HNF1A	Hnf1a
TP53	Trp53
TPO	Tpo
TSC2	Tsc2
TSHB	Tshb
TYRP1	Tyrp1
VHL	Vhl
VWF	Vwf
CRX	Crx
GDF5	Gdf5
C8A	C8a
IL5RA	Il5ra
IL6R	Il6ra
FCGR1A	Fcgr1
IL10	Il10
IL1A	Il1a
IL1B	Il1b
GC	Gc
IL15	Il15
IL2	Il2
C7	C7
IL4	Il4
IL9	Il9
CD14	Cd14
TAP1	Tap1
TNF	Tnf
LTA	Lta
IGFBP1	Igfbp1
IGFBP2	Igfbp2
IGFBP3	Igfbp3
IL6	Il6
HGF	Hgf
NOS3	Nos3
C8G	C8g
CD44	Cd44
IGF2	Igf2
HPX	Hpx
CD4	Cd4
IGF1	Igf1
BDKRB2	Bdkrb2
CD79B	Cd79b
LTBP1	Ltbp1
IL10RB	Il10rb
IFNAR1	Ifnar1
NCF4	Ncf4
ITGAM	Itgam
BCL2	Bcl2
SOD2	Sod2
GSR	Gsr
VTN	Vtn
FASLG	Fasl
IL13RA2	Il13ra2
IL11	Il11
AGL	Agl
CCR2	Ccr2
SELL	Sell
TGFB1	Tgfb1
ABAT	Abat
ACHE	Ache
ADORA3	Adora3
ADRA1D	Adra1d
ADRA2B	Adra2b
AHCY	Ahcy
ALOX12	Alox12
ALOX5	Alox5
ANXA1	Anxa1
ATP1A1	Atp1a1
AVPR1A	Avpr1a
BCKDHA	Bckdha
BDKRB1	Bdkrb1
BLVRA	Blvra
BLVRB	Blvrb
TSPO	Tspo
CACNA1D	Cacna1d
CACNA2D1	Cacna2d1
CACNG1	Cacng1
CCK	Cck
CD3D	Cd3d
CD3E	Cd3e
CGA	Cga
CHRNA3	Chrna3
CHRNA4	Chrna4
CHRNA7	Chrna7
CHRNB1	Chrnb1
CHRNB2	Chrnb2
CRAT	Crat
CRH	Crh
CSF2	Csf2
CSF3R	Csf3r
DBH	Dbh
DCK	Dck
DDC	Ddc
DIO1	Dio1
DIO2	Dio2
DRD3	Drd3
EPO	Epo
FGF1	Fgf1
FOLR2	Folr2
GAST	Gast
GABRA1	Gabra1
GABRA4	Gabra4
GABRB3	Gabrb3
GAD1	Gad1
GART	Gart
GAS6	Gas6
GGCX	Ggcx
GHRHR	Ghrhr
GNRH1	Gnrh1
GRIN2A	Grin2a
GRIN2B	Grin2b
GRIN2C	Grin2c
GRIN2D	Grin2d
GRM1	Grm1
GRM3	Grm3
GRM8	Grm8
GSTM3	Gstm5
GUCY1B3	Gucy1b3
GUK1	Guk1
HRH1	Hrh1
HTR1B	Htr1b
HTR3A	Htr3a
HTR6	Htr6
ICAM2	Icam2
IGF2R	Igf2r
IL1R1	Il1r1
IL5	Il5
IL7	Il7
IL12A	Il12a
ITGB6	Itgb6
KITLG	Kitl
MGP	Mgp
NQO1	Nqo1
NQO2	Nqo2
NPY	Npy
NPR3	Npr3
NPY1R	Npy1r
NPY2R	Npy2r
PDE3A	Pde3a
PDE3B	Pde3b
PDHB	Pdhb
PGR	Pgr
PLA2G1B	Pla2g1b
PLA2G5	Pla2g5
PLAT	Plat
SERPINF2	Serpinf2
POLR2A	Polr2a
POLR2B	Polr2b
POMC	Pomc
POR	Por
PPIB	Ppib
PPIC	Ppic
PRIM1	Prim1
PRIM2	Prim2
PRL	Prl
PRLR	Prlr
PRRG1	Prrg1
PRRG2	Prrg2
PTGDR	Ptgdr
PTGDS	Ptgds
PTGER1	Ptger1
PTGER2	Ptger2
PTGFR	Ptgfr
PTGS1	Ptgs1
RPL3	Rpl3
RPL4	Rpl4
RPL18	Rpl18
RPL24	Rpl24
RPL30	Rpl30
RPL28	Rpl28
RPS3	Rps3
RPS5	Rps5
RPS10	Rps10
RPS16	Rps16
RPS23	Rps23
RRM1	Rrm1
SCN1B	Scn1b
SCNN1A	Scnn1a
SHBG	Shbg
SLC6A2	Slc6a2
SLC6A4	Slc6a4
SST	Sst
SSTR1	Sstr1
TACR3	Tacr3
TBXA2R	Tbxa2r
TNFRSF1A	Tnfrsf1a
TNFRSF1B	Tnfrsf1b
TOP2A	Top2a
TUBG1	Tubg1
TYMS	Tyms
VCAM1	Vcam1
ZAP70	Zap70
ALDH5A1	Aldh5a1
PDE5A	Pde5a
PLOD3	Plod3
AAMP	Aamp
ABCF1	Abcf1
ACLY	Acly
ACR	Acr
ACO2	Aco2
ACVR2B	Acvr2b
ADAM10	Adam10
ADCY7	Adcy7
ADCY9	Adcy9
ADCYAP1	Adcyap1
ADCYAP1R1	Adcyap1r1
MFSD10	Mfsd10
PLIN2	Plin2
ADM	Adm
ADPRH	Adprh
ADSS	Adss
AEBP1	Aebp1
AES	Aes
AFM	Afm
AGER	Ager
ALOX12B	Alox12b
ALOX15B	Alox8
AMFR	Amfr
NUDT2	Nudt2
APBA1	Apba1
APBB1	Apbb1
BIRC3	Birc3
BIRC2	Birc2
XIAP	Xiap
ARG2	Arg2
ARHGAP5	Arhgap5
ARHGDIA	Arhgdia
ARNTL	Arntl
ART3	Art3
ASGR2	Asgr2
ALDH7A1	Aldh7a1
ATP6AP1	Atp6ap1
AZGP1	Azgp1
BACH1	Bach1
BAK1	Bak1
TNFRSF17	Tnfrsf17
BFSP1	Bfsp1
BID	Bid
BIK	Bik
PRDM1	Prdm1
BMP2	Bmp2
BMP3	Bmp3
BMPR2	Bmpr2
BNIP1	Bnip1
KLF9	Klf9
BUB1B	Bub1b
CALU	Calu
CAV2	Cav2
CCNH	Ccnh
CCNT1	Ccnt1
TNFRSF8	Tnfrsf8
TNFSF8	Tnfsf8
CD40	Cd40
CD68	Cd68
CD70	Cd70
CDC27	Cdc27
CDK6	Cdk6
CDKN2C	Cdkn2c
CDX2	Cdx2
RCBTB2	Rcbtb2
CHEK1	Chek1
CHGA	Chga
CHUK	Chuk
CIRBP	Cirbp
TBCB	Tbcb
CLCA1	Clca1
CLCN6	Clcn6
CLIC5	Clic5
LDB2	Ldb2
CLNS1A	Clns1a
ACKR2	Ackr2
CNGA3	Cnga3
CNN1	Cnn1
KLF6	Klf6
CORT	Cort
CPD	Cpd
CLDN4	Cldn4
CLDN3	Cldn3
CPN1	Cpn1
CREBL2	Crebl2
CSE1L	Cse1l
CST6	Cst6
CSTF1	Cstf1
CSTF3	Cstf3
CTBP1	Ctbp1
CTF1	Ctf1
CTNND1	Ctnnd1
CTSO	Ctso
CTSZ	Ctsz
CXADR	Cxadr
DAB2	Dab2
DAD1	Dad1
DGKA	Dgka
DGKG	Dgkg
DARS	Dars
DAXX	Daxx
DBP	Dbp
DDT	Ddt
DHX9	Dhx9
DHX15	Dhx15
DHCR7	Dhcr7
DHODH	Dhodh
DIO3	Dio3
DKC1	Dkc1
DLG2	Dlg2
DLG4	Dlg4
DNAH5	Dnah5
DNAH8	Dnah8
DNASE2B	Dnase2b
DYNC1H1	Dync1h1
DOK1	Dok1
DPAGT1	Dpagt1
DPH1	Dph1
DPH2	Dph2
DRG2	Drg2
ECM2	Ecm2
DUSP4	Dusp4
DUSP9	Dusp9
ECE1	Ece1
ECH1	Ech1
S1PR1	S1pr1
LPAR1	Lpar1
EFNA2	Efna2
EFNB3	Efnb3
CELSR3	Celsr3
CELSR2	Celsr2
EIF2B1	Eif2b1
EMP1	Emp1
EMP2	Emp2
EMP3	Emp3
EP300	Ep300
EPAS1	Epas1
EREG	Ereg
FBL	Fbl
ESR2	Esr2
EXTL2	Extl2
EXTL3	Extl3
FABP1	Fabp1
FABP6	Fabp6
FAT2	Fat2
FOXF1	Foxf1
FOXF2	Foxf2
FOXJ1	Foxj1
FLNA	Flna
FRZB	Frzb
ADAM2	Adam2
GABBR1	Gabbr1
B4GALNT1	B4galnt1
GAS8	Gas8
GATM	Gatm
NIPSNAP2	Nipsnap2
GBX2	Gbx2
GCKR	Gckr
BLOC1S1	Bloc1s1
GFRA2	Gfra2
GFRA3	Gfra3
GCLC	Gclc
GPLD1	Gpld1
CXCR3	Cxcr3
GPX5	Gpx5
GTF2B	Gtf2b
GTF2H2	Gtf2h2
GTF2H3	Gtf2h3
BRF1	Brf1
HAS1	Has1
HCRT	Hcrt
HCRTR2	Hcrtr2
HGFAC	Hgfac
HIF1A	Hif1a
HNRNPL	Hnrnpl
HSPB1	Hspb1
IGSF3	Igsf3
MRPL58	Mrpl58
ID4	Id4
IFIT2	Ifit2
IGFBP4	Igfbp4
IGFBP7	Igfbp7
CYR61	Cyr61
IGSF1	Igsf1
IL10RA	Il10ra
IL12RB2	Il12rb2
IL13RA1	Il13ra1
TNFRSF9	Tnfrsf9
IL18	Il18
IMPG1	Impg1
CXCL10	Cxcl10
INPPL1	Inppl1
EIF3E	Eif3e
IRAK2	Irak2
IRF3	Irf3
PAX6	Pax6
AARS	Aars
ACADSB	Acadsb
ACP2	Acp2
ACRV1	Acrv1
ADD2	Add2
PARP1	Parp1
GRK2	Grk2
AHR	Ahr
AHSG	Ahsg
AIF1	Aif1
AK2	Ak2
ALCAM	Alcam
ALOX5AP	Alox5ap
AMBP	Ambp
AOAH	Aoah
APEH	Apeh
APEX1	Apex1
APOA2	Apoa2
APOBEC1	Apobec1
APOC4	Apoc4
APOD	Apod
ARAF	Araf
ARCN1	Arcn1
TRIM23	Trim23
AREG	Areg
ARL4D	Arl4d
ARF6	Arf6
ARL2	Arl2
ARNT	Arnt
ASGR1	Asgr1
ASIP	a
ATF3	Atf3
ATF4	Atf4
ATP5J	Atp5j
ATP5B	Atp5b
ATP5F1	Atp5f1
ATP6V1B2	Atp6v1b2
ATP6V1C1	Atp6v1c1
ATP6V1E1	Atp6v1e1
ATP5O	Atp5o
AUH	Auh
BAAT	Baat
ADGRB1	Adgrb1
ADGRB2	Adgrb2
ADGRB3	Adgrb3
BCL7B	Bcl7b
OPN1SW	Opn1sw
CFB	Cfb
BGN	Bgn
BHMT	Bhmt
BLK	Blk
CXCR5	Cxcr5
BMP6	Bmp6
TEC	Tec
POLR3D	Polr3d
BRS3	Brs3
BSG	Bsg
BTC	Btc
BTN1A1	Btn1a1
CALB2	Calb2
CALCR	Calcr
CAMLG	Caml
CANX	Canx
CAPN2	Capn2
CAPNS1	Capns1
CARS	Cars
CAV1	Cav1
RUNX1	Runx1
CCND1	Ccnd1
CCNF	Ccnf
CCT6A	Cct6a
CD1D	Cd1d1
CD2	Cd2
CD19	Cd19
CD34	Cd34
CD38	Cd38
CD47	Cd47
CD48	Cd48
CD72	Cd72
CDA	Cda
SEPT7	Sept7
CDC25A	Cdc25a
CDC25C	Cdc25c
CDH5	Cdh5
CDH11	Cdh11
CDK7	Cdk7
CDO1	Cdo1
CDX1	Cdx1
CEBPE	Cebpe
CEBPG	Cebpg
CENPA	Cenpa
CENPB	Cenpb
CENPC	Cenpc1
CTSC	Ctsc
CHGB	Chgb
CLU	Clu
CLPS	Clps
CLTA	Clta
CCR7	Ccr7
CNR2	Cnr2
COL4A2	Col4a2
COL6A1	Col6a1
COL6A2	Col6a2
COL9A1	Col9a1
COL15A1	Col15a1
COL16A1	Col16a1
SLC31A1	Slc31a1
COX7B	Cox7b
CAD	Cad
CPT1A	Cpt1a
CRABP2	Crabp2
CRHBP	Crhbp
HAPLN1	Hapln1
CRYBA4	Cryba4
CRYBB1	Crybb1
CRYM	Crym
CSN2	Csn2
CTGF	Ctgf
CTH	Cth
CTNNA1	Ctnna1
CTNNB1	Ctnnb1
DBT	Dbt
DCT	Dct
DDB1	Ddb1
GADD45A	Gadd45a
DHPS	Dhps
MPP7	Mpp7
DLST	Dlst
DPT	Dpt
ATN1	Atn1
DSC3	Dsc3
DSG2	Dsg2
HBEGF	Hbegf
DUSP7	Dusp7
E2F4	E2f4
E2F5	E2f5
E2F6	E2f6
TYMP	Tymp
EDN1	Edn1
EDN2	Edn2
EDNRA	Ednra
EEF1B2	Eef1b2
EFNA5	Efna5
EGF	Egf
EGR4	Egr4
EHHADH	Ehhadh
EIF4A2	Eif4a2
EIF5A2	Eif5a2
ELK4	Elk4
ADGRE1	Adgre1
DMTN	Dmtn
ERCC1	Ercc1
ETFB	Etfb
ETV4	Etv4
EVPL	Evpl
EVX1	Evx1
EYA3	Eya3
F2R	F2r
F3	F3
F13B	F13b
FBLN2	Fbln2
FBN2	Fbn2
FCER1A	Fcer1a
FCER2	Fcer2a
FCN1	Fcnb
FDPS	Fdps
FGF2	Fgf2
FGF4	Fgf4
FGF9	Fgf9
FKBP3	Fkbp3
FOXO1	Foxo1
FMOD	Fmod
FMR1	Fmr1
FN1	Fn1
FNTA	Fnta
FNTB	Fntb
FUT4	Fut4
KDSR	Kdsr
GAB1	Gab1
GABPA	Gabpa
GAP43	Gap43
GARS	Gars
GAS1	Gas1
GATA1	Gata1
GATA3	Gata3
GATA4	Gata4
GFAP	Gfap
GJA4	Gja4
GCLM	Gclm
GLP1R	Glp1r
GNA15	Gna15
GNAQ	Gnaq
GNS	Gns
GOT1	Got1
GOT2	Got2
GRB2	Grb2
GRN	Grn
GRIK5	Grik5
GRP	Grp
GTF2F1	Gtf2f1
GUCA1B	Guca1b
HARS	Hars
HTT	Htt
HIVEP1	Hivep1
HLA-DOA	H2-Oa
HLA-DOB	H2-Ob
HLA-DQB1	H2-Ab1
HMGCS1	Hmgcs1
HMOX2	Hmox2
NR4A1	Nr4a1
HOXB1	Hoxb1
HOXB3	Hoxb3
HOXD10	Hoxd10
HPD	Hpd
HSPA4	Hspa4
HSPD1	Hspd1
IRF8	Irf8
ID1	Id1
ID2	Id2
ID3	Id3
IFNB1	Ifnb1
IGFBP6	Igfbp6
IGHMBP2	Ighmbp2
IL1RAP	Il1rap
IL6ST	Il6st
IL7R	Il7r
IL12B	Il12b
IL13	Il13
IL15RA	Il15ra
IL17A	Il17a
INHA	Inha
INHBA	Inhba
INHBB	Inhbb
INPP1	Inpp1
ACO1	Aco1
IRF1	Irf1
IRF2	Irf2
ISL1	Isl1
ITGA2	Itga2
ITGA9	Itga9
ITGAL	Itgal
ITIH1	Itih1
ITIH2	Itih2
ITIH3	Itih3
ITIH4	Itih4
ITPKA	Itpka
ITPKB	Itpkb
ITPR1	Itpr1
ITPR3	Itpr3
IVD	Ivd
JAG2	Jag2
JAK1	Jak1
JUN	Jun
JUP	Jup
KCNA5	Kcna5
KCNA6	Kcna6
KCNJ3	Kcnj3
KCNJ6	Kcnj6
KCNJ10	Kcnj10
KCNJ15	Kcnj15
KCNK1	Kcnk1
KCNK3	Kcnk3
KCNMA1	Kcnma1
KCNN4	Kcnn4
KISS1	Kiss1
KLRD1	Klrd1
KPNB1	Kpnb1
KPNA2	Kpna2
IPO5	Ipo5
KRT15	Krt15
KRT19	Krt19
KRT35	Krt35
KRT86	Krt86
AFF3	Aff3
LAG3	Lag3
LALBA	Lalba
LAMB1	Lamb1
LAMB2	Lamb2
LAMC1	Lamc1
LECT2	Lect2
LEPR	Lepr
LIF	Lif
LIFR	Lifr
LIG4	Lig4
LIMK1	Limk1
LOX	Lox
LOXL2	Loxl2
LRP1	Lrp1
LRP3	Lrp3
LRP5	Lrp5
LRP6	Lrp6
LSP1	Lsp1
LTB	Ltb
LTBR	Ltbr
LTF	Ltf
LY6H	Ly6h
LY9	Ly9
SH2D1A	Sh2d1a
TACSTD2	Tacstd2
EPCAM	Epcam
MXD1	Mxd1
MAD2L1	Mad2l1
MAFK	Mafk
MAG	Mag
MAGOH	Magoh
MAN2A1	Man2a1
MAP1A	Map1a
MAP2	Map2
MAP4	Map4
MAS1	Mas1
MATN1	Matn1
MATN3	Matn3
MAX	Max
MBP	Mbp
MC1R	Mc1r
MCM3	Mcm3
MDK	Mdk
MDM2	Mdm2
MDM4	Mdm4
SLC3A2	Slc3a2
MEST	Mest
MFAP2	Mfap2
MFNG	Mfng
MGAT1	Mgat1
MGAT2	Mgat2
MGAT5	Mgat5
MGST2	Mgst2
MKI67	Mki67
MMP19	Mmp19
MNAT1	Mnat1
MPG	Mpg
MPI	Mpi
MPP1	Mpp1
MSH3	Msh3
MSH4	Msh4
MSMB	Msmb
MSN	Msn
MAP3K10	Map3k10
MST1R	Mst1r
MSX1	Msx1
MSX2	Msx2
MTAP	Mtap
NUDT1	Nudt1
MTIF2	Mtif2
IRF4	Irf4
MVD	Mvd
MYBPC1	Mybpc1
MYBL2	Mybl2
MYD88	Myd88
MYF6	Myf6
MYOG	Myog
PPP1R12A	Ppp1r12a
NUBP1	Nubp1
NBN	Nbn
NCBP1	Ncbp1
NDUFA6	Ndufa6
NDUFB6	Ndufb6
NDUFC1	Ndufc1
NDUFS4	Ndufs4
NDUFS8	Ndufs8
NEK3	Nek3
NEO1	Neo1
NEUROD1	Neurod1
NFIX	Nfix
NFKB2	Nfkb2
NFX1	Nfx1
NGF	Ngf
NGFR	Ngfr
NID1	Nid1
NKX2-2	Nkx2-2
GPNMB	Gpnmb
NOV	Nov
NPAS1	Npas1
NPAS2	Npas2
NPAT	Npat
NPTX1	Nptx1
NPTX2	Nptx2
NT5E	Nt5e
NTF3	Ntf3
NTHL1	Nthl1
NTRK1	Ntrk1
NUP88	Nup88
NVL	Nvl
OCLN	Ocln
ODC1	Odc1
ODF2	Odf2
OGG1	Ogg1
OLR1	Olr1
TNFRSF11B	Tnfrsf11b
OPHN1	Ophn1
OR3A1	Olfr402
SLC22A18	Slc22a18
P2RX1	P2rx1
P2RX3	P2rx3
P2RX4	P2rx4
P2RX5	P2rx5
P2RX7	P2rx7
P2RY1	P2ry1
P2RY2	P2ry2
FURIN	Furin
PAFAH1B2	Pafah1b2
PAFAH1B3	Pafah1b3
PAK1	Pak1
PALM	Palm
PAWR	Pawr
PCDH8	Pcdh8
PCK1	Pck1
PCNA	Pcna
PCOLCE	Pcolce
CDK18	Cdk18
PDC	Pdc
PDCD2	Pdcd2
PDE2A	Pde2a
PDE4B	Pde4b
PDE6D	Pde6d
PDE6G	Pde6g
PDE7A	Pde7a
PDE8A	Pde8a
PDGFRB	Pdgfrb
PDZK1	Pdzk1
SERPINF1	Serpinf1
PER1	Per1
PEX13	Pex13
CFP	Cfp
PFDN5	Pfdn5
PFN2	Pfn2
PGF	Pgf
PGM1	Pgm2
PHB	Phb
PHKA1	Phka1
PIGA	Piga
PIGR	Pigr
PIK3C3	Pik3c3
PIP	Pip
PLAG1	Plag1
PLAGL2	Plagl2
PLCG1	Plcg1
PLEK	Plek
PLIN1	Plin1
PLP2	Plp2
PLRG1	Plrg1
POLB	Polb
POLD1	Pold1
POLE2	Pole2
POLG	Polg
POLR2C	Polr2c
POLR2E	Polr2e
POLR2G	Polr2g
POU4F3	Pou4f3
PPL	Ppl
PPM1B	Ppm1b
PPP1R7	Ppp1r7
PPP1R10	Ppp1r10
PPP2R2A	Ppp2r2a
PPP4C	Ppp4c
PPY	Ppy
PRELP	Prelp
PREP	Prep
PRG2	Prg2
PKN2	Pkn2
PRKD3	Prkd3
PRKCSH	Prkcsh
MAPK4	Mapk4
MAPK7	Mapk7
MAP2K1	Map2k1
PROX1	Prox1
PRPSAP2	Prpsap2
TMPRSS15	Tmprss15
PSMA1	Psma1
PSMA2	Psma2
PSMA3	Psma3
PSMA4	Psma4
PSMA5	Psma5
PSMA6	Psma6
PSMA8	Psma8
PSMB1	Psmb1
PSMB2	Psmb2
PSMB3	Psmb3
PSMB4	Psmb4
PSMB6	Psmb6
PSMB7	Psmb7
PSMB9	Psmb9
PSMC1	Psmc1
PSMC2	Psmc2
PSMC3	Psmc3
PSMC5	Psmc5
PSMD1	Psmd1
PSMD2	Psmd2
PSMD3	Psmd3
PSMD7	Psmd7
PSMD9	Psmd9
PSMD11	Psmd11
PSMD12	Psmd12
PSMD13	Psmd13
PSME3	Psme3
PTHLH	Pthlh
PTN	Ptn
PTPN1	Ptpn1
PTPN4	Ptpn4
PTPN9	Ptpn9
PTPN11	Ptpn11
PTPRB	Ptprb
PTPRC	Ptprc
PTPRG	Ptprg
PTPRJ	Ptprj
PTPRN2	Ptprn2
PTPRR	Ptprr
PTPRZ1	Ptprz1
PVALB	Pvalb
NECTIN1	Nectin1
ABCD3	Abcd3
ALDH18A1	Aldh18a1
PCYT2	Pcyt2
PYGM	Pygm
RAB3B	Rab3b
RAD51	Rad51
RAD51D	Rad51d
RAP1A	Rap1a
RAP1GAP	Rap1gap
RARRES1	Rarres1
RARRES2	Rarres2
RASA1	Rasa1
RASGRF2	Rasgrf2
RBL1	Rbl1
RBP1	Rbp1
RCN2	Rcn2
RCVRN	Rcvrn
RDH5	Rdh5
NF2	Nf2
REL	Rel
RENBP	Renbp
UPF1	Upf1
RFC1	Rfc1
RFC3	Rfc3
RFX1	Rfx1
RGS1	Rgs1
RGS2	Rgs2
RGS7	Rgs7
RGS12	Rgs12
RGS16	Rgs16
GRK1	Grk1
RIT2	Rit2
RNF2	Rnf2
RNASEH1	Rnaseh1
RNH1	Rnh1
ABCE1	Abce1
ROBO1	Robo1
ROS1	Ros1
RPA1	Rpa1
MRPL12	Mrpl12
RPN1	Rpn1
RPN2	Rpn2
RREB1	Rreb1
RXRA	Rxra
S100A3	S100a3
S100A5	S100a5
S100A8	S100a8
S100A9	S100a9
S100A10	S100a10
SAFB	Safb
SALL1	Sall1
SATB1	Satb1
ATXN2	Atxn2
CLEC11A	Clec11a
SCN9A	Scn9a
CCL13	Ccl2
CCL3L3	Ccl3
CCL5	Ccl5
CCL2	Ccl12
CCL17	Ccl17
CCL24	Ccl24
XCL1	Xcl1
CX3CL1	Cx3cl1
SDC1	Sdc1
SDC2	Sdc2
SDHB	Sdhb
SDHC	Sdhc
SELP	Selp
SELPLG	Selplg
SELENOW	Selenow
SFRP1	Sfrp1
SFRP4	Sfrp4
SFRP5	Sfrp5
SFTPC	Sftpc
SFTPD	Sftpd
SH3BGRL	Sh3bgrl
SH3BP2	Sh3bp2
ITSN1	Itsn1
ST6GAL1	St6gal1
ST8SIA1	St8sia1
STIL	Stil
SLC5A2	Slc5a2
SLC6A1	Slc6a1
SLC6A6	Slc6a6
SLC34A2	Slc34a2
SLC18A2	Slc18a2
SLIT1	Slit1
SLIT3	Slit3
SLPI	Slpi
SMARCA2	Smarca2
SMARCB1	Smarcb1
SMARCC2	Smarcc2
SMARCD3	Smarcd3
SNAPC1	Snapc1
SNAPC2	Snapc2
SNCB	Sncb
SNAPC4	Snapc4
SNCG	Sncg
SNRPA1	Snrpa1
SNTA1	Snta1
SNX2	Snx2
SOAT1	Soat1
SOD3	Sod3
SORL1	Sorl1
SOX4	Sox4
SP2	Sp2
SP4	Sp4
UAP1	Uap1
SPAG4	Spag4
SPI1	Spi1
SPTAN1	Sptan1
SPTBN1	Sptbn1
