sample_id	file	total_mass	internal_scale	external_scale
TH_014_C04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_C04/abundances.cxb	392974	0.275594	1
TH_014_C05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_C05/abundances.cxb	392580	0.48634	1
TH_014_C06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_C06/abundances.cxb	103	7.39849e-05	1
TH_014_C07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_C07/abundances.cxb	322553	0.280995	1
TH_014_C08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_C08/abundances.cxb	449425	0.301156	1
TH_014_C09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_C09/abundances.cxb	39841	0.029261	1
TH_014_C10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_C10/abundances.cxb	574215	0.711217	1
TH_014_C11_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_C11/abundances.cxb	493441	0.442356	1
TH_014_C12_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_C12/abundances.cxb	674371	0.306927	1
TH_014_D01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_D01/abundances.cxb	659192	0.985849	1
TH_014_D02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_D02/abundances.cxb	306039	0.922999	1
TH_014_D03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_D03/abundances.cxb	348543	0.516785	1
TH_014_D04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_D04/abundances.cxb	336	0.000739849	1
TH_014_D05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_D05/abundances.cxb	382110	0.452159	1
TH_014_D06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_D06/abundances.cxb	295759	0.557735	1
TH_014_D07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_D07/abundances.cxb	370445	0.316988	1
TH_014_D08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_D08/abundances.cxb	414073	0.466808	1
TH_014_D09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_D09/abundances.cxb	632	0.000406917	1
TH_014_D10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_D10/abundances.cxb	801295	1.71649	1
TH_014_D11_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_D11/abundances.cxb	515047	0.345362	1
TH_014_D12_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_D12/abundances.cxb	567379	0.440247	1
TH_014_E01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_E01/abundances.cxb	567326	1.07829	1
TH_014_E02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_E02/abundances.cxb	335693	0.908054	1
TH_014_E03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_E03/abundances.cxb	496555	0.992397	1
TH_014_E04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_E04/abundances.cxb	447432	0.609118	1
TH_014_E05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_E05/abundances.cxb	420601	0.553185	1
TH_014_E06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_E06/abundances.cxb	271819	0.344659	1
TH_014_E07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_E07/abundances.cxb	430815	0.482086	1
TH_014_E08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_E08/abundances.cxb	411966	0.421714	1
TH_014_E09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_E09/abundances.cxb	406051	0.265051	1
TH_014_E10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_E10/abundances.cxb	531579	0.907536	1
TH_014_E11_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_E11/abundances.cxb	492089	0.333598	1
TH_014_E12_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_E12/abundances.cxb	542285	0.33567	1
TH_014_F01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_F01/abundances.cxb	418388	0.437066	1
TH_014_F02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_F02/abundances.cxb	390505	1.12224	1
TH_014_F03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_F03/abundances.cxb	430444	0.407361	1
TH_014_F04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_F04/abundances.cxb	275839	0.562212	1
TH_014_F05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_F05/abundances.cxb	400170	0.401035	1
TH_014_F06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_F06/abundances.cxb	358912	0.818236	1
TH_014_F07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_F07/abundances.cxb	574952	0.365412	1
TH_014_F08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_F08/abundances.cxb	231175	0.49126	1
TH_014_F09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_F09/abundances.cxb	447067	0.366891	1
TH_014_F10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_F10/abundances.cxb	435797	1.19338	1
TH_014_F11_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_F11/abundances.cxb	152	0.000221955	1
TH_014_F12_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_F12/abundances.cxb	374469	0.351687	1
TH_014_G01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_G01/abundances.cxb	415569	0.460445	1
TH_014_G02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_G02/abundances.cxb	336266	0.693683	1
TH_014_G03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_G03/abundances.cxb	402690	0.405326	1
TH_014_G04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_G04/abundances.cxb	546403	0.63394	1
TH_014_G05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_G05/abundances.cxb	387454	0.351428	1
TH_014_G06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_G06/abundances.cxb	413757	0.616997	1
TH_014_G07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_G07/abundances.cxb	445315	0.320577	1
TH_014_G08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_G08/abundances.cxb	327365	0.486932	1
TH_014_G09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_G09/abundances.cxb	544428	0.409211	1
TH_014_G10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_G10/abundances.cxb	639692	1.04818	1
TH_014_G11_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_G11/abundances.cxb	678943	0.448904	1
TH_014_G12_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_G12/abundances.cxb	471874	1.91133	1
TH_014_H01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_H01/abundances.cxb	484299	0.358864	1
TH_014_H02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_H02/abundances.cxb	311417	0.881494	1
TH_014_H03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_H03/abundances.cxb	251332	0.306372	1
TH_014_H04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_H04/abundances.cxb	371412	0.571608	1
TH_014_H05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_H05/abundances.cxb	429514	0.347322	1
TH_014_H06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_H06/abundances.cxb	437827	0.931877	1
TH_014_H07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_H07/abundances.cxb	460324	0.345251	1
TH_014_H08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_H08/abundances.cxb	309225	0.677813	1
TH_014_H09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_H09/abundances.cxb	575310	0.408175	1
TH_014_H10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_H10/abundances.cxb	506167	1.49997	1
TH_014_H11_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_H11/abundances.cxb	610313	0.427485	1
TH_014_H12_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_H12/abundances.cxb	407315	0.359715	1
TH_015_A01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_A01/abundances.cxb	603971	0.977045	1
TH_015_A02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_A02/abundances.cxb	282794	0.353167	1
TH_015_A03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_A03/abundances.cxb	401759	0.375326	1
TH_015_A04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_A04/abundances.cxb	312636	0.299121	1
TH_015_A05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_A05/abundances.cxb	459295	0.356718	1
TH_015_A06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_A06/abundances.cxb	322046	0.285656	1
TH_015_A07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_A07/abundances.cxb	624053	0.438324	1
TH_015_A08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_A08/abundances.cxb	310639	0.301082	1
TH_015_A09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_A09/abundances.cxb	507978	0.24219	1
TH_015_A10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_A10/abundances.cxb	317518	0.330195	1
TH_015_A11_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_A11/abundances.cxb	660983	0.428558	1
TH_015_A12_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_A12/abundances.cxb	120465	0.122112	1
TH_015_B01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_B01/abundances.cxb	296605	0.335004	1
TH_015_B02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_B02/abundances.cxb	77	0.000221955	1
TH_015_B03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_B03/abundances.cxb	391339	0.382021	1
TH_015_B04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_B04/abundances.cxb	224688	0.233681	1
TH_015_B05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_B05/abundances.cxb	496398	0.524146	1
TH_015_B06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_B06/abundances.cxb	425936	0.472801	1
TH_015_B07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_B07/abundances.cxb	686169	0.504503	1
TH_015_B08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_B08/abundances.cxb	360055	0.302709	1
TH_015_B09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_B09/abundances.cxb	534151	0.241746	1
TH_015_B10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_B10/abundances.cxb	383521	0.316582	1
TH_015_B11_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_B11/abundances.cxb	516746	0.191732	1
TH_015_B12_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_B12/abundances.cxb	117	7.39849e-05	1
TH_015_C01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_C01/abundances.cxb	406081	1.11776	1
TH_015_C02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_C02/abundances.cxb	323881	0.549782	1
TH_015_C03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_C03/abundances.cxb	502453	0.736779	1
TH_015_C04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_C04/abundances.cxb	323943	0.367002	1
TH_015_C05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_C05/abundances.cxb	7373	0.0248219	1
TH_015_C06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_C06/abundances.cxb	304968	0.366336	1
TH_015_C07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_C07/abundances.cxb	343215	0.273818	1
TH_015_C08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_C08/abundances.cxb	469201	0.583297	1
TH_015_C09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_C09/abundances.cxb	545637	0.376028	1
TH_015_C10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_C10/abundances.cxb	406372	0.335152	1
TH_015_C11_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_C11/abundances.cxb	495089	0.232054	1
TH_015_C12_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_C12/abundances.cxb	625842	0.45375	1
TH_015_D01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_D01/abundances.cxb	303361	1.33506	1
TH_015_D02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_D02/abundances.cxb	346432	0.620216	1
TH_015_D03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_D03/abundances.cxb	428670	0.946748	1
TH_015_D04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_D04/abundances.cxb	225	0.000813834	1
TH_015_D05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_D05/abundances.cxb	450227	1.05073	1
TH_015_D06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_D06/abundances.cxb	230645	0.293054	1
TH_015_D07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_D07/abundances.cxb	451212	0.634569	1
TH_015_D08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_D08/abundances.cxb	555966	0.551706	1
TH_015_D09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_D09/abundances.cxb	34801	0.0459446	1
TH_015_D10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_D10/abundances.cxb	329406	0.290095	1
TH_015_D11_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_D11/abundances.cxb	523811	0.451382	1
TH_015_D12_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_D12/abundances.cxb	555632	0.358642	1
TH_015_E01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_E01/abundances.cxb	206440	0.767631	1
TH_015_E02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_E02/abundances.cxb	434711	0.810468	1
TH_015_E03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_E03/abundances.cxb	450960	0.8856	1
TH_015_E04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_E04/abundances.cxb	400541	0.518634	1
TH_015_E05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_E05/abundances.cxb	513300	0.935539	1
TH_015_E06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_E06/abundances.cxb	370553	0.447091	1
TH_015_E07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_E07/abundances.cxb	525904	0.62828	1
TH_015_E08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_E08/abundances.cxb	393615	0.347729	1
TH_015_E09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_E09/abundances.cxb	422346	0.424489	1
TH_015_E10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_015_E10/abundances.cxb	356099	0.341699	1
